PID;DayCareType;Daycare_Name;Mailing_City;Mailing_State;Mailing_Address;Mailing_Zip;Telephone;URL;Capacity (optional);Age Range (optional);Match_Status;Match_Confidence;Matched_Provider_Name;Matched_Reason
1027661;;IMMANUEL LUTHERAN SCHOOL;Houston;TX;1440 Cortlandt;77008;(713)861-8787;http://www.ilshouston.org;;;not_found;45;Immanuel Lutheran School, Houston Heights;Candidate did not meet the balanced city-plus-name acceptance threshold.
1560455;Montessori;NORTH SHORE MONTESSORI SCHOOL;Stony Brook;NY;218 Christian Ave.;11790;(631)689-8273;https://www.northshoremontessori.com;114;;exact_match;99;North Shore Montessori School;Candidate name closely matches the cleaned daycare name in the same city.
2873164;;HAND PRINTS CHILD CARE;Dallas;TX;;2805 Peavy Rd;75228;(214)327-3236;https://handprintschildcare.com/Dallas/;;;partial_match;92;Handprints Academy;Candidate name closely matches the cleaned daycare name in the same city.
4934257;;FAITH FELLOWSHIP ACADEMY;Melbourne;FL;2820 Business Ctr Blvd;32940;(321)259-7200;http://www.faithfellowshipweb.com;318;;exact_match;99;Faith Fellowship Academy;Candidate name closely matches the cleaned daycare name in the same city.
4982723;Church/Synagogue;ST LUKE EARLY LEARNING CENTER;Columbus;GA;318 11th St;31901;(706)322-2703;http://elc.stlukeum.com;;4 year - 4 year 11 mo;exact_match;99;St Luke School;Candidate name closely matches the cleaned daycare name in the same city.
4994374;Church/Synagogue;EVERGREEN ACADEMY;Evergreen;CO;;28253 Meadow Dr;80439;(303)842-2675;http://evergreenchristianacademy.org/;;;partial_match;92;Evergreen Christian Academy;Candidate name closely matches the cleaned daycare name in the same city.
5025627;;IN HIS ARMS LUTHERAN ECC;Burlington;WI;417 S;53105;(262)763-3883;http://oursaviorburlington.com;;;not_found;45;In His Arms Preschool;Candidate did not meet the balanced city-plus-name acceptance threshold.
448359;Independent Center;GUILD OF ST AGNES DAY CARE CTR;Worcester;MA;129 Granite;01604;(508)756-8371;http://www.guildofstagnes.org;;5 year - 12 year;partial_match;99;Guild Of St. Agnes (Rice Square School);City matched and the provider name partially overlaps with supporting address/contact evidence.
1444344;Montessori;MONTESSORI SCH-GRTR LAFAYETTE;West Lafayette;IN;2552 Soldiers Home Rd;47906;;;;4 year - 4 year 11 mo;renamed_likely;95;Montessori School of Greater Lafayette;City matched and the official/source record appears renamed but still has strong overlapping identity tokens.
1457171;Church/Synagogue;SELWYN CHILD DEV CENTER;Charlotte;NC;2840 COLONY ROAD CHARLOTTE;28211;(980)343-5835;http://www.selwynprescdc.com;100;5 years - 12 years;not_found;45;SELWYN ASEP;Candidate did not meet the balanced city-plus-name acceptance threshold.
1783827;Independent Center;CUSHMAN SCOTT CHILDRENS CENTER;Amherst;MA;71 Henry;01002;(413)549-1167;http://www.cushmanscott.org;;;not_found;45;Cushman Scott Children's Center Inc;Candidate did not meet the balanced city-plus-name acceptance threshold.
1784405;Montessori;KINGS WOOD MONTESSORI SCHOOL;Foxboro;MA;12 Gilmore;02035;(508)543-6391;https://kingswoodmontessori.org;;;not_found;45;King’s Wood Montessori School;Candidate did not meet the balanced city-plus-name acceptance threshold.
1789596;Montessori;HIGHLAND PARK MONTESSORI SCH;Saint Paul;MN;1550 Summit Ave;55105;(888)291-9811;http://www.highlandpark-ms.org;54;1 year 4 months - 6 years 11 months;exact_match;99;Highland Park Montessori;Candidate name closely matches the cleaned daycare name in the same city.
1791513;Independent Center;NURSERY RHYMES SCHOOL AND KIN;Saddle Brook;NJ;141 Market;07663;(201)843-8667;http://nurseryrhymespreschool.com;;;not_found;45;Nursery Rhymes Pre-School;Candidate did not meet the balanced city-plus-name acceptance threshold.
1799905;Church/Synagogue;FIRST BAPTIST KINDERGARTEN;Aiken;SC;120 Chesterfield Street.;29801;(803)991-2156;http://www.fbcaiken.org;102;0 months - 6 years;renamed_likely;99;First Baptist Church of Aiken Pre-school;City matched and the official/source record appears renamed but still has strong overlapping identity tokens.
1800700;Church/Synagogue;FBC MAULDIN CHRISTIAN ACADEMY;Mauldin;SC;150 S;29662;(864)288-1917;http://mauldinchristian.org;256;0 mo - 12 year;renamed_likely;95;First Baptist Church Mauldin Christian Academy;City matched and the official/source record appears renamed but still has strong overlapping identity tokens.
1801118;Church/Synagogue;HEBRON DAY SCHOOL;West Columbia;SC;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
1868752;Independent Center;WEST END DAY NRSRY OF NEW BEDF;New Bedford;MA;170 Cedar St;02740;(508)993-6419;http://www.westenddaynursery.org;82;0 mo - 14 year;renamed_likely;99;West End Day Nursery of New Bedford;City matched and the official/source record appears renamed but still has strong overlapping identity tokens.
1869794;Independent Center;AUBURNDALE CMTY NURSERY SCHOOL;Auburndale;MA;230 Central;02466;(617)527-0723;http://acnsnewton.org;;;not_found;45;Auburndale Community Nursery;Candidate did not meet the balanced city-plus-name acceptance threshold.
2072138;Church/Synagogue;ST AIDANS EPISCOPAL DAY SCHOOL;Alexandria;VA;8531 Riverside;22308;(703)360-4160;https://www.staidansdayschool.org;75;24 mo - 6 year 11 mo;renamed_likely;95;St. Luke’s Episcopal Church;City matched and the official/source record appears renamed but still has strong overlapping identity tokens.
2072554;Independent Center;OVERLEE PRE-SCHOOL;Arlington;VA;5801 Langston Blvd;22207;(703)635-1155;;145;1 year 8 months - 6 years 11 months;not_found;45;Little Ambassadors' Academy - Overlee;Candidate did not meet the balanced city-plus-name acceptance threshold.
2076184;Church/Synagogue;WESTMINSTER WEEKDAY SCHOOL;Greenville;SC;2310 Augusta St;29605;(864)232-5766;http://www.westminsterweekdayschool.com;313;;exact_match;99;Westminster Weekday School;Candidate name closely matches the cleaned daycare name in the same city.
2083175;Independent Center;LA PUERTA DE LOS NINOS;Albuquerque;NM;3001 Trellis;87107;(505)884-2999;http://lapuertadelosninos.org;;;not_found;45;La Puerta de Los Niños;Candidate did not meet the balanced city-plus-name acceptance threshold.
2155431;Church/Synagogue;SOUTH AIKEN PRESBYTERIAN KDGN;Aiken;SC;1711 Whiskey;29803;(803)648-9895;https://www.southaiken.org;;;not_found;45;South Aiken Presbyterian School;Candidate did not meet the balanced city-plus-name acceptance threshold.
2206200;College/University Based;MILL'S COLLEGE CHILDREN'S SCH;Oakland;CA;5000 MACARTHUR BLVD.;94613;;;54;;exact_match;99;MILLS COLLEGE CHILDREN'S SCHOOL;Candidate name closely matches the cleaned daycare name in the same city.
2214374;Montessori;MONTESSORI SCHOOL OF OAKTON;Fairfax;VA;10830 Main St;22030;(703)715-0611;http://www.oaktonmontessori.com;76;3 years 11 months - 6 years 11 months;exact_match;99;Montessori School of Oakton;Candidate name closely matches the cleaned daycare name in the same city.
2242084;Church/Synagogue;SOUTH HIGHLAND CHILD DEV CTR;Birmingham;AL;2035 Highland Ave;35205;(205)939-1210;https://www.shpcdc.org;;1 mo - 7 year;expanded_match;95;South Highland Child Development Center;Candidate matched one of the ranked expanded search-name variants.
2243313;College/University Based;UNIVERSITY PRE-SCH LRNG CENTER;Huntsville;AL;4503 University;35816;(256)824-4750;https://www.uah.edu;;;not_found;45;UAH Early Learning Center (ELC);Candidate did not meet the balanced city-plus-name acceptance threshold.
2243882;Independent Center;KIDS STUFF PRE-SCHOOL;Mobile;AL;320 Hillcrest Rd;36608;(251)343-6611;https://kidsstuffpreschool.com;;6 w - 4 year 11 mo;exact_match;99;Kids Stuff Preschool;Candidate name closely matches the cleaned daycare name in the same city.
2248961;Church/Synagogue;AHWATUKEE PRE-SCHOOL;Phoenix;AZ;11002 S 48th St;85044;(480)893-2531;https://www.ahwatukeepreschool.org;59;;exact_match;99;AHWATUKEE PRESCHOOL;Candidate name closely matches the cleaned daycare name in the same city.
2250172;Church/Synagogue;JOY CMTY PRE-SCHOOL;Glendale;AZ;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
2251803;Church/Synagogue;PRINCE OF PEACE PRE-SCHOOL;Phoenix;AZ;3641 N 56th St;85018;(480)947-5645;https://www.poppreschool.com;258;;exact_match;99;PRINCE OF PEACE PRESCHOOL;Candidate name closely matches the cleaned daycare name in the same city.
2251839;Montessori;RAINBOW MONTESSORI SCHOOL #1;Scottsdale;AZ;6520 E Cactus Rd;85254;(480)998-0024;https://mris.edu.in;;12 mo - 5 year 11 mo;renamed_likely;95;Rainbow Montessori School;City matched and the official/source record appears renamed but still has strong overlapping identity tokens.
2252388;Church/Synagogue;TIME FOR TOTS;Chandler;AZ;2211 West Germann Road;85286;(602)571-2530;https://www.timefortots.org;178;;exact_match;99;TIME FOR TOTS PRESCHOOL;Candidate name closely matches the cleaned daycare name in the same city.
2252780;Church/Synagogue;WEEK DAY SCHOOL-FUMC;Phoenix;AZ;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
2254532;Church/Synagogue;TANQUE VERDE LUTH CRCH PRE-SCH;Tucson;AZ;8625 E;85749;(520)749-1738;http://tvlcpreschool.com;;;not_found;45;Tanque Verde Lutheran Preschool & Kindergarten;Candidate did not meet the balanced city-plus-name acceptance threshold.
2255122;YMCA/YWCA;PRESCOTT YMCA OF YAVAPAI CTY;Prescott;AZ;750 Whipple;86301;(928)445-7221;https://prescottymca.org;;;not_found;45;Prescott YMCA of Yavapai County;Candidate did not meet the balanced city-plus-name acceptance threshold.
2262199;Church/Synagogue;FIRST UNITED METHODIST CDC;Little Rock;AR;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
2267515;Independent Center;STORY LAND PRE-SCHOOL;Livermore;CA;2475 Fourth;94550;(925)449-1531;http://www.storylandschool.com;;;not_found;45;Storyland Pre-School & After School Care;Candidate did not meet the balanced city-plus-name acceptance threshold.
2274441;Independent Center;VALLE VERDE CHILDREN'S CENTER;Walnut Creek;CA;3275 PEACHWILLOW LANE;94598;(925)944-5255;https://valleverdechildrenscenter.org;158;;exact_match;99;VALLE VERDE CHILDREN'S CENTER;Candidate name closely matches the cleaned daycare name in the same city.
2275433;Independent Center;KIDDIE KASTLE DAY CARE CTR;Fresno;CA;3003 N;93705;(559)224-7987;http://www.kidskarecentralwest.com;;;not_found;45;Kids Kare Central West;Candidate did not meet the balanced city-plus-name acceptance threshold.
2275445;Independent Center;KIDDIE KOLLEGE DAY CARE CTR;Fresno;CA;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
2280971;Church/Synagogue;CLAREMONT BAPT NURSERY SCHOOL;Claremont;CA;472 NORTH MOUNTAIN AVENUE;91711;(909)624-8873;https://claremontbns.org;65;;closed_likely;95;CLAREMONT BAPTIST NURSERY SCHOOL;Official source indicates the facility is closed or inactive.
2282395;Church/Synagogue;ENCINO PRESBYTERIAN CHILD CTR;Encino;CA;4963 BALBOA BOULEVARD;91316;(818)788-9442;http://epcckids.info;96;;partial_match;99;ENCINO PRESBYTERIAN CHILDREN'S CENTER;City matched and the provider name partially overlaps with supporting address/contact evidence.
2285050;;LONG BEACH DAY NURSERY-EAST;Long Beach;CA;3965 BELLFLOWER BLVD.;90808;(562)732-5236;http://www.lbdn.org;91;;exact_match;99;LONG BEACH DAY NURSERY - EAST BRANCH;Candidate name closely matches the cleaned daycare name in the same city.
2285828;Church/Synagogue;BRENTWOOD CHURCH NURSERY SCH;Los Angeles;CA;12000;90049;(310)826-2020;http://bpcpreschool.com;;;not_found;45;Brentwood Presbyterian Church Preschool;Candidate did not meet the balanced city-plus-name acceptance threshold.
2287709;Independent Center;SPIRIT CHILD DEV CTR;Los Angeles;CA;4061 WEST WASHINGTON BOULEVARD;90018;(323)737-2467;http://spiritcdc.com;60;;expanded_match;84;SPIRIT CHILD DEVELOPMENT CENTER;Candidate matched one of the ranked expanded search-name variants.
2289109;Church/Synagogue;ADAT ARI EL NURSERY SCHOOL;Valley;CA;12020 BURBANK BOULEVARD;91607;(818)766-9426;http://www.adatariel.org;35;;not_found;45;ADAT ARI EL NURSERY SCHOOL;Candidate did not meet the balanced city-plus-name acceptance threshold.
2290445;Montessori;PASADENA MONTESSORI SCHOOL;Pasadena;CA;280 S;91101;(626)792-9280;http://pasadenamontessori.com;45;;partial_match;99;ENCHANTED CASTLE PASADENA MONTESSORI SCHOOL;City matched and the provider name partially overlaps with supporting address/contact evidence.
2290653;College/University Based;CAL POLY POMONA CCC;Pomona;CA;3801 WEST TEMPLE AVE;91768;(909)869-2284;https://asi.cpp.edu;71;;not_found;45;CAL POLY CHILD CARE CENTER;Candidate did not meet the balanced city-plus-name acceptance threshold.
2292936;Independent Center;PLAY FACTORY;Temple City;CA;9723 GARIBALDI AVE.;91780;(626)285-9223;http://playfactorypreschool.org;74;;exact_match;99;PLAY FACTORY;Candidate name closely matches the cleaned daycare name in the same city.
2303731;Independent Center;TURTLE ROCK PRE-SCHOOL;Irvine;CA;1 CONCORDIA WEST;92612;(949)854-7611;http://turtlerockpreschool.com;136;;exact_match;99;TURTLE ROCK PRESCHOOL;Candidate name closely matches the cleaned daycare name in the same city.
2305832;Church/Synagogue;LITTLE FRIENDS PRE-SCHOOL;Yorba Linda;CA;4221 ROSE DRIVE;92886;(714)528-8402;https://www.friendschristian.org;174;;exact_match;99;LITTLE FRIENDS PRE SCHOOL;Candidate name closely matches the cleaned daycare name in the same city.
2307153;Independent Center;VIP TOTS;Hemet;CA;41915 E ACACIA AVE;92544;(951)652-7611;http://www.viptots.org;46;;closed_likely;99;VIP TOTS;Official source indicates the facility is closed or inactive.
2310277;Church/Synagogue;TRINITY TOTS;Sacramento;CA;5225 HILLSDALE BLVD.;95842;(916)331-5656;https://tcssac.org;153;;exact_match;99;TRINITY TOTS;Candidate name closely matches the cleaned daycare name in the same city.
2310679;Church/Synagogue;ALTALOMA CHRISTIAN SCHOOL;Alta Loma;CA;9974 19TH STREET;91701;(909)989-2804;https://alchristian.com;72;;expanded_match;84;ALTA LOMA CHRISTIAN SCHOOL;Candidate matched one of the ranked expanded search-name variants.
2313293;Church/Synagogue;CHULA VISTA PRESBY PRE-SCHOOL;Chula Vista;CA;940 HILLTOP DRIVE;91911;(619)243-1291;https://westminsterpc.org;60;;expanded_match;95;CHULA VISTA PRESBYTERIAN PRESCHOOL;Candidate matched one of the ranked expanded search-name variants.
2315526;Independent Center;CARMEL MOUNTAIN PRE-SCHOOL;San Diego;CA;9510 CARMEL MOUNTAIN ROAD;92129;(858)484-4877;http://www.carmelmountainpreschool.com;249;;exact_match;99;CARMEL MOUNTAIN PRESCHOOL;Candidate name closely matches the cleaned daycare name in the same city.
2316726;Church/Synagogue;BILL & SID RUBIN PRE-SCH;San Diego;CA;9001 Towne Centre Dr;92122;;;105;;renamed_likely;99;Bill and Sid Rubin Infant Center;City matched and the official/source record appears renamed but still has strong overlapping identity tokens.
2316879;Church/Synagogue;ST MARK'S WEEKDAY NURSERY SCH;San Diego;CA;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
2318633;Church/Synagogue;LAKESIDE PRESBY CHLDRN CTR;San Francisco;CA;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
2322036;Church/Synagogue;KIRK HOUSE PRE-SCHOOL;Menlo Park;CA;1148 JOHNSON STREET;94025;(650)323-8667;http://kirkhousepreschool.org;44;;exact_match;99;KIRK HOUSE PRESCHOOL;Candidate name closely matches the cleaned daycare name in the same city.
2323339;Church/Synagogue;GOLETA VALLEY NURSERY SCHOOL;Goleta;CA;550 CAMBRIDGE DRIVE;93117;(805)964-5514;http://www.goletavalleynurseryschool.com;35;;exact_match;99;GOLETA VALLEY NURSERY SCHOOL;Candidate name closely matches the cleaned daycare name in the same city.
2324852;Independent Center;VINEYARD PRE-SCHOOL;Gilroy;CA;1735 HECKER PASS;95020;;https://www.vineyardpreschool.com;50;;exact_match;92;VINEYARD PRESCHOOL;Candidate name closely matches the cleaned daycare name in the same city.
2327361;Independent Center;WILLOW GLEN CMTY EXT DAY PROG;San Jose;CA;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
2327842;Independent Center;CARING HEARTS;Sunnyvale;CA;645 WEST FREMONT AVENUE;94087;(408)245-6356;https://www.elderlifefinancial.com;78;;partial_match;99;CARING HEARTS CHILD DEV.CENTER;City matched and the provider name partially overlaps with supporting address/contact evidence.
2327969;Church/Synagogue;PRESBYTERIAN EARLY LRNNG CTR;Sunnyvale;CA;728 W;94087;(408)245-2253;http://www.pelc.us;;;not_found;45;PELC (Presbyterian Early Learning Center);Candidate did not meet the balanced city-plus-name acceptance threshold.
2334443;Church/Synagogue;TEMPLE ADAT ELOHIM PRE-SCHOOL;Thousand Oaks;CA;2420 E. HILLCREST DRIVE;91360;(805)497-7101;http://adatelohim.com;124;;exact_match;99;TEMPLE ADAT ELOHIM PRESCHOOL;Candidate name closely matches the cleaned daycare name in the same city.
2336087;Church/Synagogue;HOLY TRINITY PRE-SCHOOL;Littleton;CO;6322 S Lakeview;80120;(303)798-1356;http://www.holytrinity-lutheran.com;80;;exact_match;99;HOLY TRINITY PRESCHOOL;Candidate name closely matches the cleaned daycare name in the same city.
2337251;Church/Synagogue;SACRED HEART OF JESUS EARLY PS;Boulder;CO;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
2338384;Church/Synagogue;MONTVIEW CMTY PRE-SCH & KDGN;Denver;CO;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
2338748;Church/Synagogue;TEMPLE EMANUEL PRE-SCH & KDGN;Denver;CO;51 Grape ST;80220;;;248;;not_found;45;RABBI STEVEN FOSTER ELC @ TEMPLE EMANUEL;Candidate did not meet the balanced city-plus-name acceptance threshold.
2338853;Church/Synagogue;TREASURELAND PRE-SCHOOL;Denver;CO;2950 S University BLVD;80210;(303)758-0362;http://treasurelandpreschool.com;77;;exact_match;92;Treasureland Preschool;Candidate name closely matches the cleaned daycare name in the same city.
2339003;Independent Center;JOYFUL MISSION PRE-SCHOOL;Parker;CO;7051 E Parker Hills Ct;80138;(303)841-3770;https://www.joyfulmissionpreschool.org;82;;exact_match;99;JOYFUL MISSION PRESCHOOL;Candidate name closely matches the cleaned daycare name in the same city.
